direktorij,slika,presek/unija,precision,recall,mse,,
compressedR128_pcaKompresor,s6.jpg,0.656028348,0.736031389,0.86761641,0.006339743,,0.04218892
compressedR16_pcaKompresor,s1.jpg,0.025068122,0.112593611,0.948194865,0.076099402,,0.047865005
compressedR16_pcaKompresor,s2.jpg,0.080024696,0.258619162,0.926937738,0.12508515,,0.049981817
compressedR16_pcaKompresor,s3.jpg,0.047334031,0.255249115,0.903920876,0.07032799,,0.051032507
compressedR16_pcaKompresor,s4.jpg,0.102134132,0.32248853,0.911655329,0.306396179,,0.052426857
compressedR16_pcaKompresor,s5.jpg,0.14736353,0.534915455,0.981066376,0.21212781,,0.06002838
compressedR16_pcaKompresor,s6.jpg,0.022601933,0.064314951,0.945017794,0.039801289,,0.066413333
compressedR1_pcaKompresor,s1.jpg,0.000704415,0.018821641,0.738530735,0.079725098,,0.07032799
compressedR1_pcaKompresor,s2.jpg,0.000844306,0.022290171,0.92293578,0.13059303,,0.071859049
compressedR1_pcaKompresor,s3.jpg,0.001214743,0.02877662,0.724874372,0.077855351,,0.074103683
compressedR1_pcaKompresor,s4.jpg,0.000229634,0.013507877,0.952488688,0.357082984,,0.076099402
compressedR1_pcaKompresor,s5.jpg,0.000528167,0.021417977,0.876213592,0.266462408,,0.077600169
compressedR1_pcaKompresor,s6.jpg,0.001180194,0.019581487,0.841749089,0.040847604,,0.077655265
compressedR256_pcaKompresor,s1.jpg,0.740436891,0.91973101,0.94921724,0.014614456,,0.077779235
compressedR256_pcaKompresor,s6.jpg,0.839854453,0.918392308,0.906243652,0.005138964,,0.077832963
compressedR2_pcaKompresor,s1.jpg,0.000694022,0.020021397,0.761627907,0.079728275,,0.077855351
compressedR2_pcaKompresor,s2.jpg,0.000981348,0.020694851,0.922924901,0.130568541,,0.079658666
compressedR2_pcaKompresor,s3.jpg,0.001888587,0.031170515,0.626252505,0.077832963,,0.079709896
compressedR2_pcaKompresor,s4.jpg,0.00046957,0.022267142,0.977464789,0.356957782,,0.079725098
compressedR2_pcaKompresor,s5.jpg,0.000576833,0.025867695,0.988662132,0.266444071,,0.079728275
compressedR2_pcaKompresor,s6.jpg,0.001515691,0.025406283,0.813178295,0.040842649,,0.08008075
compressedR32_pcaKompresor,s1.jpg,0.254846411,0.375049671,0.87439648,0.051032507,,0.089055417
compressedR32_pcaKompresor,s2.jpg,0.338439301,0.591332093,0.9001619,0.071859049,,0.098891065
compressedR32_pcaKompresor,s3.jpg,0.333119694,0.510747594,0.925781956,0.047865005,,0.117081888
compressedR32_pcaKompresor,s4.jpg,0.326050738,0.486636507,0.967715179,0.196385739,,0.12508515
compressedR32_pcaKompresor,s5.jpg,0.589639928,0.81121329,0.944920525,0.074103683,,0.128738017
compressedR32_pcaKompresor,s6.jpg,0.211560401,0.234105936,0.952690716,0.027082072,,0.130550785
compressedR4_pcaKompresor,s1.jpg,0.000696716,0.016414489,0.781943939,0.079709896,,0.130568541
compressedR4_pcaKompresor,s2.jpg,0.001127421,0.026367101,0.938485804,0.130550785,,0.13059303
compressedR4_pcaKompresor,s3.jpg,0.002235808,0.039399531,0.845824411,0.077779235,,0.158867236
compressedR4_pcaKompresor,s4.jpg,0.001193662,0.035069144,0.982913669,0.356531297,,0.196385739
compressedR4_pcaKompresor,s5.jpg,0.001464489,0.060812815,0.978987584,0.266027074,,0.21212781
compressedR4_pcaKompresor,s6.jpg,0.00134965,0.021918671,0.809481216,0.040846826,,0.236069203
compressedR64_pcaKompresor,s1.jpg,0.371250982,0.609445209,0.818204202,0.034853426,,0.248590024
